"samp","genotypeLabels...3."
"488_Besev","Plate_12_Samp_67"
"2158_Kesantas","Plate_12_Samp_68"
"3078_Sirnak","Plate_12_Samp_69"
"2033_Karabace","Plate_12_Samp_7"
"2503_S2Drd","Plate_12_Samp_70"
"1005_Cudi2","Plate_12_Samp_71"
"1282_Destek","Plate_12_Samp_72"
"2058_Kayatape","Plate_12_Samp_73"
"2089_Kayatape","Plate_12_Samp_74"
"2674_S2Drd","Plate_12_Samp_75"
"752_Cudi1","Plate_12_Samp_76"
"3090_Sirnak","Plate_12_Samp_77"
"1950_Karabace","Plate_12_Samp_78"
"1881_Karabace","Plate_12_Samp_79"
"493_Besev","Plate_12_Samp_8"
"2376_Oyali","Plate_12_Samp_80"
"1438_Egil","Plate_12_Samp_81"
"2615_S2Drd","Plate_12_Samp_82"
"1649_Kalkan","Plate_12_Samp_83"
"365_Bari3","Plate_12_Samp_84"
"1940_Karabace","Plate_12_Samp_85"
"61_Bari1","Plate_12_Samp_86"
"2452_Oyali","Plate_12_Samp_87"
"1793_Karabace","Plate_12_Samp_88"
"2952_Sirnak","Plate_12_Samp_89"
"3135_Sirnak","Plate_12_Samp_9"
"2532_S2Drd","Plate_12_Samp_90"
"3189_Sirnak","Plate_12_Samp_91"
"466_Besev","Plate_12_Samp_92"
"1938_Karabace","Plate_12_Samp_93"
"1601_Kalkan","Plate_12_Samp_94"
"646_Cudi1","Plate_12_Samp_95"
"2967_Sirnak","Plate_13_Samp_1"
"2137_Kesantas","Plate_13_Samp_10"
"1715_Karab","Plate_13_Samp_11"
"2289_Ortan","Plate_13_Samp_12"
"2018_Karabace","Plate_13_Samp_13"
"1272_Destek","Plate_13_Samp_14"
"1468_Egil","Plate_13_Samp_15"
"1416_Egil","Plate_13_Samp_16"
"688_Cudi1","Plate_13_Samp_17"
"67_Bari1","Plate_13_Samp_18"
"2932_Sirnak","Plate_13_Samp_19"
"2231_Kesentas","Plate_13_Samp_2"
"12_Bari1","Plate_13_Samp_20"
"2747_Sarikaya","Plate_13_Samp_21"
"2178_Kesantas","Plate_13_Samp_22"
"1970_Karabace","Plate_13_Samp_23"
"3001_Sirnak","Plate_13_Samp_24"
"2000_Karabace","Plate_13_Samp_25"
"2330_Oyali","Plate_13_Samp_26"
"2266_Kesentas","Plate_13_Samp_27"
"715_Cudi1","Plate_13_Samp_28"
"1911_Karabace","Plate_13_Samp_29"
"1501_Gunas","Plate_13_Samp_3"
"486_Besev","Plate_13_Samp_30"
"1436_Egil","Plate_13_Samp_31"
"1345_Destek","Plate_13_Samp_32"
"1786_Karabace","Plate_13_Samp_33"
"575_Cermik","Plate_13_Samp_34"
"2743_Sarikaya","Plate_13_Samp_35"
"919_Cudi2","Plate_13_Samp_36"
"3013_Sirnak","Plate_13_Samp_37"
"836_Cudi1","Plate_13_Samp_38"
"3280_Sirnak","Plate_13_Samp_39"
"2149_Kesantas","Plate_13_Samp_4"
"1478_Egil","Plate_13_Samp_40"
"1450_Egil","Plate_13_Samp_41"
"252_Bari3","Plate_13_Samp_42"
"782_Cudi1","Plate_13_Samp_43"
"1366_Destek","Plate_13_Samp_44"
"129_Bari2","Plate_13_Samp_45"
"2186_Kesantas","Plate_13_Samp_46"
"2620_S2Drd","Plate_13_Samp_47"
"2617_S2Drd","Plate_13_Samp_48"
"1782_Karabace","Plate_13_Samp_49"
"1145_Derici","Plate_13_Samp_5"
"3040_Sirnak","Plate_13_Samp_50"
"357_Bari3","Plate_13_Samp_51"
"928_Cudi2","Plate_13_Samp_52"
"1884_Karabace","Plate_13_Samp_53"
"535_Cermik","Plate_13_Samp_54"
"1338_Destek","Plate_13_Samp_55"
"861_Cudi2","Plate_13_Samp_56"
"1134_Derici","Plate_13_Samp_57"
"146_Bari2","Plate_13_Samp_58"
"826_Cudi1","Plate_13_Samp_59"
"700_Cudi1","Plate_13_Samp_6"
"1734_Karabace","Plate_13_Samp_60"
"1473_Egil","Plate_13_Samp_61"
"337_Bari3","Plate_13_Samp_62"
"56_Bari1","Plate_13_Samp_63"
"2670_S2Drd","Plate_13_Samp_64"
"2575_S2Drd","Plate_13_Samp_65"
"363_Bari3","Plate_13_Samp_66"
"2462_Oyali","Plate_13_Samp_67"
"1463_Egil","Plate_13_Samp_68"
"2373_Oyali","Plate_13_Samp_69"
"211_Bari3","Plate_13_Samp_7"
"249_Bari3","Plate_13_Samp_70"
"2608_S2Drd","Plate_13_Samp_71"
"1164_Derici","Plate_13_Samp_72"
"2307_Ortan","Plate_13_Samp_73"
"2538_S2Drd","Plate_13_Samp_74"
"1714_Karab","Plate_13_Samp_75"
"1420_Egil","Plate_13_Samp_76"
"2087_Kayatape","Plate_13_Samp_77"
"2359_Oyali","Plate_13_Samp_78"
"936_Cudi2","Plate_13_Samp_79"
"1848_Karabace","Plate_13_Samp_8"
"1582_Kalkan","Plate_13_Samp_80"
"2640_S2Drd","Plate_13_Samp_81"
"941_Cudi2","Plate_13_Samp_82"
"1292_Destek","Plate_13_Samp_83"
"719_Cudi1","Plate_13_Samp_84"
"1589_Kalkan","Plate_13_Samp_85"
"1788_Karabace","Plate_13_Samp_86"
"1671_Kalkan","Plate_13_Samp_87"
"1808_Karabace","Plate_13_Samp_88"
"384_Bari3","Plate_13_Samp_89"
"1205_Derici","Plate_13_Samp_9"
"684_Cudi1","Plate_13_Samp_90"
"2195_Kesentas","Plate_13_Samp_91"
"2586_S2Drd","Plate_13_Samp_92"
"2579_S2Drd","Plate_13_Samp_93"
"2959_Sirnak","Plate_13_Samp_94"
"1386_Destek","Plate_13_Samp_95"
"125_Bari2","Plate_14_Samp_1"
"2423_Oyali","Plate_14_Samp_10"
"103_Bari2","Plate_14_Samp_11"
"1640_Kalkan","Plate_14_Samp_12"
"1637_Kalkan","Plate_14_Samp_13"
"1646_Kalkan","Plate_14_Samp_14"
"1691_Karab","Plate_14_Samp_15"
"152_Bari2","Plate_14_Samp_16"
"598_Cudi1","Plate_14_Samp_17"
"24_Bari1","Plate_14_Samp_18"
"1050_Cudi2","Plate_14_Samp_19"
"256_Bari3","Plate_14_Samp_2"
"2772_Sarikaya","Plate_14_Samp_20"
"1562_Kalkan","Plate_14_Samp_21"
"3213_Sirnak","Plate_14_Samp_22"
"2898_Sirna","Plate_14_Samp_23"
"1968_Karabace","Plate_14_Samp_24"
"2354_Oyali","Plate_14_Samp_25"
"1728_Karabace","Plate_14_Samp_26"
"2284_Ortan","Plate_14_Samp_27"
"671_Cudi1","Plate_14_Samp_28"
"437_Besev","Plate_14_Samp_29"
"3192_Sirnak","Plate_14_Samp_3"
"2177_Kesantas","Plate_14_Samp_30"
"778_Cudi1","Plate_14_Samp_31"
"1538_Gunas","Plate_14_Samp_32"
"2567_S2Drd","Plate_14_Samp_33"
"442_Besev","Plate_14_Samp_34"
"1610_Kalkan","Plate_14_Samp_35"
"2530_S2Drd","Plate_14_Samp_36"
"1611_Kalkan","Plate_14_Samp_37"
"795_Cudi1","Plate_14_Samp_38"
"1703_Karab","Plate_14_Samp_39"
"2229_Kesentas","Plate_14_Samp_4"
"59_Bari1","Plate_14_Samp_40"
"952_Cudi2","Plate_14_Samp_41"
"705_Cudi1","Plate_14_Samp_42"
"2280_Kesentas","Plate_14_Samp_43"
"2876_Sirna","Plate_14_Samp_44"
"3212_Sirnak","Plate_14_Samp_45"
"1181_Derici","Plate_14_Samp_46"
"273_Bari3","Plate_14_Samp_47"
"23_Bari1","Plate_14_Samp_48"
"503_Besev","Plate_14_Samp_49"
"1126_Derici","Plate_14_Samp_5"
"1154_Derici","Plate_14_Samp_50"
"2472_Oyali","Plate_14_Samp_51"
"644_Cudi1","Plate_14_Samp_52"
"2653_S2Drd","Plate_14_Samp_53"
"2143_Kesantas","Plate_14_Samp_54"
"1651_Kalkan","Plate_14_Samp_55"
"905_Cudi2","Plate_14_Samp_56"
"51_Bari1","Plate_14_Samp_57"
"703_Cudi1","Plate_14_Samp_58"
"1054_Cudi2","Plate_14_Samp_59"
"2334_Oyali","Plate_14_Samp_6"
"2794_Sarikaya","Plate_14_Samp_60"
"1483_Egil","Plate_14_Samp_61"
"2877_Sirna","Plate_14_Samp_62"
"2981_Sirnak","Plate_14_Samp_63"
"2252_Kesentas","Plate_14_Samp_64"
"2322_Ortan","Plate_14_Samp_65"
"2901_Sirna","Plate_14_Samp_66"
"75_Bari1","Plate_14_Samp_67"
"54_Bari1","Plate_14_Samp_68"
"2550_S2Drd","Plate_14_Samp_69"
"3241_Sirnak","Plate_14_Samp_7"
"1984_Karabace","Plate_14_Samp_70"
"872_Cudi2","Plate_14_Samp_71"
"2731_Sarikaya","Plate_14_Samp_72"
"2682_S2Drd","Plate_14_Samp_73"
"2510_S2Drd","Plate_14_Samp_74"
